age_group,label,behavior,percentage
15–24 years,15–24 years (Gen Z),Attempted to Suntan (%),20.6
15–24 years,15–24 years (Gen Z),Experienced Sunburn (%),15.2
15–24 years,15–24 years (Gen Z),Used Sunscreen regularly (%),38.9
35–44 years,35–44 years (Millennials),Attempted to Suntan (%),8.1
35–44 years,35–44 years (Millennials),Experienced Sunburn (%),8.0
35–44 years,35–44 years (Millennials),Used Sunscreen regularly (%),45.5
65 years and over,65+ years (Boomers),Attempted to Suntan (%),3.3
65 years and over,65+ years (Boomers),Experienced Sunburn (%),2.0
65 years and over,65+ years (Boomers),Used Sunscreen regularly (%),27.4
